region_code,share_count,hashtag_names,like_count,username,video_description,view_count,comment_count,id
US,15,"['duet', 'onecallaway', 'dyslexia', 'earlychildhoodeducation', 'teacherontiktok', 'speechtherapygang', 'bcbasoftiktok']",581,specialeducationboss,#duet with @💛Official Grace Anna Sings💛 #onecallaway #speechtherapygang #dyslexia #earlychildhoodeducation #teacherontiktok #bcbasoftiktok ,7449,13,7362724724423642411
US,24,"['florida', 'michigan', 'dyslexia', 'earlychildhoodeducation', 'teachersoftiktok', 'teacherontiktok', 'speechtherapygang', 'diagnostician', 'texasteacher', 'bcbasoftiktok']",289,specialeducationboss,#diagnostician #bcbasoftiktok #texasteacher #michigan #florida #teachersoftiktok #teacherontiktok #earlychildhoodeducation #dyslexia #speechtherapygang ,9869,35,7362721207088680235
US,1,"['adhd', 'dyslexia', 'feelgoodandkeepmakingprogress']",6,mr.hunter842,Keep going forward and feel good about your progress #adhd #dyslexia #feelgoodandkeepmakingprogress 🧘🧘‍♀️🧘‍♂️🤔💭☮️💪🏿🏃‍♂️🏃‍♀️🏃🫡👏,273,1,7362716354027277611
US,1,"['dyslexia', 'fypシ', 'littledumbdumb']",60,olivebk23,#littledumbdumb #fypシ #dyslexia ,857,3,7362711391163190571
US,0,"['reading', 'dyslexia', 'barnesandnoble', 'kissmycupcake']",0,wins.dot,🧁 #reading #barnesandnoble #dyslexia #kissmycupcake ,0,5,7340806338005699886
US,0,"['wontgiveup', 'neverstopfighting', 'dyslexia', 'saydyslexia', 'dyslexiaawareness', 'dyslexiaadvocate']",0,dyslexiaandme3,Nothing means more to me then advocating on my daughters behalf and now seeing her advocate for herself! A learning disability is HARD. Fight for these kids! They shouldnt have so much anxiety and stress over school. #neverstopfighting #wontgiveup #dyslexia #dyslexiaawareness #dyslexiaadvocate #saydyslexia ,0,0,7340783949200854303
US,0,"['soccer', 'reading', 'nashville', 'dyslexia', 'englishlanguage', 'phonics', 'schwa', 'mukhtar', 'phonemes', 'lettersounds', 'socceracademy', 'futbol', 'nashvillesoccerclub', 'mukhtarsocceracademy']",0,redwoodliteracy,"Have you ever wondered how words are broken down in the English language?  Soccer Academy is made up of ELEVEN phonemes or individual sounds. /s/ - /o/ - /c/ - /er/ /a/ - /c/ - /a/ - /d/ - /e/ - /m/ - /y/ The letter s spells the /s/ sound. The vowel o can spell several sounds and is a great place to try vowel flexing. In this word, it spells the short o sound that sounds like /ah/. The letter c spells the /k/ sound. The letters er work together to spell the /er/ sound, and is most frequently found at the end of words. The letter a spells several different sounds, but in this word the first time it appears it spells the schwa sound, which sounds like /uh/. The letter c spells the /k/ sound. The letter a spells several different sounds, but in this word the second time it appears it spells the short a sound. The letter d spells the /d/ sound. The letter e spells several different sounds, but in this word, it spells the schwa sound, which sounds like /uh/. The letter m spells the /m/ sound. The letter y spells multiple sounds depending on where it is placed in a word. When it comes at the end of a multi-syllabic word, it makes the long e sound, which sounds like /ee/. If you are a futbol fan, then you’ve hopefully heard of the @Nashville SC professional soccer team. @Hany Mukhtar is a favorite and teaches at his @mukhtarsocceracademy where he inspires many young players. Check it out! #nashville #nashvillesoccerclub #englishlanguage #reading #dyslexia #mukhtar #mukhtarsocceracademy #soccer #futbol #socceracademy #phonemes #lettersounds #phonics #schwa ",0,0,7340783947439164715
US,0,"['dyslexia', 'dyslexicsquad']",0,neala_draws,#dyslexia #dyslexicsquad ,0,1,7340775836959739178
US,0,"['middleschool', 'dyslexia', 'specialeducation', 'dyscalculia', 'middleschoolteacher', 'studentrights', 'changeeducationsystem', 'advocatelikeamother', 'middleschoolspecialeducation', 'academicskills', 'specialeducationadvocate', 'structuredliteracy', 'parentsofstudentswithadisability', 'edifymyiep', 'createchangeineducation']",0,edifymyiep,#edifymyiep #specialeducation #parentsofstudentswithadisability #studentrights #changeeducationsystem #createchangeineducation #advocatelikeamother #specialeducationadvocate #structuredliteracy #dyslexia #dyscalculia #academicskills #middleschool #middleschoolteacher #middleschoolspecialeducation ,0,61,7340769439396367662
US,0,"['meme', 'pov', 'ai', 'fyp', 'dyslexia', 'dyslexiasupport', 'capcut', 'speechifyapp', 'memecut']",0,katie.productivity,Thank god i found the speechify app #Meme #MemeCut #CapCut #speechifyapp #ai #dyslexia #dyslexiasupport #pov #fyp ,0,0,7340768305214639406
